"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.103327",0.108030746288759,0.847208783291569,1.87899511958039,-1.03368402648095,-0.142304127954129,-0.967824037151047,-0.600669936066478,-0.238737290730632,0.0573724962902311,0.773575909380944,0.192833062397948,-0.874796698846596,1
"dv.12724",0.189308048875679,-0.287691685445956,1.69532315198679,-0.314682695377835,0.462208836889796,1.11621497819632,0.328182197120327,0.322900778625663,0.84643231762303,-1.10377880511035,-1.28141588566632,-1.97300123771714,1
"dv.130187",2.53760415573737,2.98172658498626,1.35437781917793,0.359064418341402,-0.783490377288126,-0.979311583718124,-1.33707186742634,-1.92574818626223,-0.327983452530012,-0.649975918724677,-0.86633113452974,-0.362860457763718,1
"dv.130344",1.7031663320401,1.5224706932276,0.973100733935799,-0.837548960398586,-0.155699435477011,-1.85352569836003,-1.11607587056354,-1.71215639631946,-1.90609468560484,2.41218453578848,-0.655498433791997,1.62567718552351,1
"dv.134240",0.242241211635227,1.51003354818538,2.12903734973921,-3.36238557234909,0.324674608695303,0.223186371545828,-2.20380110362376,-0.618900647059278,1.00740581348927,1.3465323311858,0.440844157796859,-1.03886806924075,1
"dv.138661",0.0426112450801153,1.79363521475256,3.36579358876476,0.104329504868593,-0.562453267121233,-0.0425018040748988,-0.888019719711874,-0.624144324362316,-0.493981123015644,-0.994117946882543,-0.831985775864368,-0.869165592433145,1
"dv.139277",1.39311126582428,0.382884369412512,1.19547773571359,0.59504006150661,0.283693728850748,-0.623282916933938,0.123609868730956,-0.61009716397675,-1.00241606343626,-0.703581466069839,-1.12570448301514,0.0912650633932284,1
"dv.143058",0.26494574125423,1.26517607609755,0.72911032116316,0.0768121951255791,-0.220632907450228,0.529497109154279,0.460994742440327,0.349959663596661,0.804325130136098,-2.00105562922777,-0.595559625493581,-1.6635728167963,1
"dv.143551",0.168348073605384,-0.452268421657306,1.0847020571783,-0.00944710758036837,-0.330887561713728,-0.150704199343075,-0.118924708222878,0.129783570571267,0.374113661693766,-0.656745152805092,-0.273259961462533,0.235289749736268,1
"dv.149503",1.82664962364077,1.13123534531707,0.214194545039698,0.128311230147253,-0.562012110609491,-0.602507174931371,0.183199026492776,-0.890402308802647,-0.912055119971059,-0.298690056614189,0.116115442313883,-0.334038442022687,1
"dv.151977",1.4573622612416,0.362650028844323,1.94295465933084,-1.34005076443246,-0.0379395916597289,-0.28380706543172,0.103855493910785,-0.167667302194583,-0.570795555745724,-0.393272747162523,-1.06014774547534,-0.0131416712254717,1
"dv.160300",-1.36983432272738,1.36194145613701,1.64470176545309,0.0232083156194847,0.103167209268261,0.430754559952424,-1.97327105154556,0.327650012557059,0.151373266842163,-2.47645049501556,1.46242220444369,0.314337079015324,1
"dv.19788",0.916550224626375,1.79996474850623,-0.200056549344286,-0.69003279937193,-0.691275355983877,-0.422466993030414,0.712559947608118,0.485881857017011,0.475858820610259,-0.405104813890769,-0.600296382114007,-1.38158270463271,1
"dv.4683",1.4810636031633,0.423496856071386,1.98338095500936,-1.61326110861503,0.36417472008012,1.2496717111864,0.30343947091393,-2.18004678263258,0.584308239466695,-2.06798333820226,1.39442259633079,-1.9226669227721,1
"dv.94",0.625327416710183,1.93922466742126,0.950971698465059,-0.551304331892787,0.080016913359513,-0.360531275797866,-0.359457702035927,-0.495799027219073,-1.03588581162395,0.737978062939257,-1.13366616460606,-0.396874445719609,1
"dv.94347",-1.44733071534114,-0.70720609215064,6.76932308631867,1.24053837297617,1.64262719456206,-0.793852769120273,-1.44733071534114,-1.44733071534114,-1.44733071534114,-0.815083121097696,-1.44733071534114,-0.0996930947825669,1
"dv.98749",0.233653009335407,0.611066111434628,1.07731029343798,0.15868782980423,0.481362434687921,-0.403965962525034,0.0377750185388344,-0.37617645338207,0.172381690970858,-0.642381316135427,-1.21594723267434,-0.133765423492978,1
