"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.133062",-3.05304282896956,-5.24231577223219,0.460235456689401,0.532213338647536,0.7235246387603,0.421941483024658,0.344467903132689,0.797168613510176,0.506144140258324,1.38388185355883,1.47052615844218,1.65525501517766,6
"dv.147244",-5.10533216266002,-5.10533216266002,1.93398041755054,0.113085702047161,1.02750398922053,0.431711389906952,0.421162425490263,0.709023978784086,1.03696242455073,1.40518408056096,1.5707164305461,1.56133348666272,6
"dv.152599",-2.71150599878596,-2.79560434074125,-2.9716083391374,1.78876073868653,0.780962856806598,0.70366965580332,3.00753188458795,1.27497437298714,-2.08222048697635,2.68960393642101,3.15346530473709,-2.83802958438869,6
"dv.19732",-2.57646526902191,-4.86457731100631,-4.86457731100631,2.48824241905536,1.61509153735277,1.4897352497187,2.48607430454447,2.67441125316347,2.67374351578166,-0.0715391517264372,-0.504406167594507,-0.54573306926097,6
"dv.24660",-3.52798959102249,-3.52798959102249,-3.52798959102249,2.95778452412278,2.34903871469765,0.984637815194107,1.41322320225296,1.25864881632397,2.45956757437188,-0.249577747457859,-0.651864662010074,0.0625105355720503,6
"dv.97968",-5.43961634392273,-5.43961634392273,-5.43961634392273,2.7676590788568,1.58818324127533,0.886823633126903,2.49809896715099,1.80874279364963,2.33603541312969,1.10749235826527,1.27053210749118,2.0552814388224,6
