"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.102439",-0.830440922694891,-3.07005918364638,0.617082788490188,-0.675284527580967,1.52298620160801,-0.162854128678395,0.340103458364955,-0.144242817602311,-0.402775115314735,1.70249690315043,0.940897995772966,0.162089348131126,7
"dv.129777",2.42739655283689,-3.45837050778756,-0.937453436158328,-0.0534377900924907,2.0690631124106,-0.635392040245664,0.358695020055761,-1.70932151201513,-0.224180205190423,2.12761936062868,-0.0507713715143536,0.08615281707202,7
"dv.132466",0.388171631832399,-4.21788711103844,2.7487957745513,0.452597499241088,-0.292028387280325,0.327406106925003,-0.256643133950493,-1.41378660346582,0.20808953037483,0.23229382856947,0.983629561643352,0.83936130259764,7
"dv.132672",1.73075514083682,-1.91846778584189,-0.756175001654213,1.16073886057327,1.08329963554813,-1.00256566438524,-1.73207581797239,-0.445359892260785,-0.561823249936879,1.46458122513481,0.00133011072911149,0.975762439229247,7
"dv.141607",1.45163333755054,-3.25194298377997,-0.349723327461562,0.354609855465753,0.563256409912253,1.43374656148329,0.757909321829494,0.972532261628126,0.292341346302821,0.569816256587133,1.1978885674526,-3.99206760697048,7
"dv.19756",1.88363740400447,-5.06159043421498,-0.110699781568004,0.0273350832307822,0.89464781930198,2.12304071249547,1.79060829895172,-2.35635265921103,1.60429393597152,1.22556884882752,2.42105076076742,-4.44153998855687,7
"dv.23636",1.32455239215101,-2.05372746766333,2.49980308298085,-0.0842308625358541,1.03623044223988,0.583653418020663,-0.394741737132847,-0.304678471890896,0.448377927373847,-0.451205140262444,-1.42069408726154,-1.18333949601933,7
"dv.3531",0.727248773543717,-1.29786501005046,0.541990855588525,0.207981396372954,0.655097832270359,0.0297941212833734,0.717788269943282,-0.354994790751066,0.00128073891727887,-0.00432767366646658,-0.748403749984156,-0.475590763467336,7
"dv.43919",2.2562337336645,-2.16420990479388,-1.27577126378003,-0.0519763797982904,0.362951388104207,0.968887324643235,-1.30117929683582,0.278167251546472,-0.409800673260357,0.302256700580489,0.824733737322868,0.209707382606604,7
"dv.95414",0.0142150688323195,-1.79451299070893,-0.516293813727104,0.103091073157478,1.11781851358538,0.00932748849851617,0.578720056778018,-0.119657462451776,-0.28249374275839,0.940502484999873,-0.106538887831342,0.0558222116259595,7
