"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.12724",1.87014816619976,1.54319104398306,3.34395272869304,-0.594574063547749,-1.4476947385816,-0.842863534177404,-1.4476947385816,-0.863563759494628,-1.4476947385816,0.0119400759673853,0.308806918375526,-0.433953360254176,10
"dv.130187",3.16164049533454,3.69691537953798,2.13149313015866,0.721626481017503,-1.85590976889301,-1.85590976889301,-1.85590976889301,-1.85590976889301,-1.85590976889301,0.854873362724542,-1.85590976889301,0.568909764584862,10
"dv.134240",2.21920955704658,3.48022496821062,4.05680216878049,-1.08402629933752,-1.08402629933752,-1.08402629933752,-1.08402629933752,-1.08402629933752,-1.08402629933752,-1.08402629933752,-1.08402629933752,-1.08402629933752,10
"dv.138661",0.388500681996623,2.23218150629216,3.78308835026792,-1.4481951072555,-1.13706037569916,-1.51025610447129,0.0878576980203292,-1.38097246632243,0.649281719760507,-0.679486056995263,-0.257314179085512,-0.727625666508384,10
"dv.143058",1.57235523942492,2.48977332739221,2.01628456850047,-0.713293941592112,-0.713293941592112,-0.713293941592112,-0.713293941592112,-0.713293941592112,-0.713293941592112,-0.713293941592112,-0.713293941592112,-0.372061602580702,10
"dv.143551",1.80134924278538,1.33726191033899,2.7419804841369,-0.529139747546486,-0.885524080169558,-0.934861689436966,-0.596229554216759,-0.821659877585078,-0.682780374249282,-0.822765212056814,-0.299628409070435,-0.308002692929893,10
"dv.147244",-0.497396066311101,-0.497396066311101,5.08761853629557,-0.497396066311101,-0.497396066311101,-0.497396066311101,-0.497396066311101,-0.497396066311101,-0.497396066311101,-0.113657873184555,-0.497396066311101,-0.497396066311101,10
"dv.4683",2.30015717375472,1.43251246493951,2.86084881913849,-1.05551422679125,-1.0184125570622,-0.475950264980859,-0.859876799808717,-0.909803701643431,-0.739969070535816,-0.961053522434724,-0.0729418452816866,-0.499996469294032,10
