"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.133397",4.45406891957857,-1.99943590956415,3.90809418803106,-1.99943590956415,-1.99943590956415,-1.99943590956415,-1.99943590956415,-0.101271924766368,0.693582484849592,0.759482165603157,-0.0246350031502551,0.307858717675005,6
"dv.141607",3.37680475001488,-0.128822489867153,1.88417860167813,-0.570240095758428,-0.570240095758428,-0.570240095758428,-0.570240095758428,-0.570240095758428,-0.570240095758428,-0.570240095758428,-0.570240095758428,-0.570240095758428,6
"dv.21571",2.58616299952816,-0.542148066892047,1.72434874711908,-1.8994194485363,-1.8994194485363,-1.8994194485363,1.84589738062706,0.974734767545756,0.284907959759023,-1.8994194485363,1.22055185720253,-0.49677785074435,6
"dv.23636",1.30147571897575,-0.89497033743748,2.34924058951075,-0.89497033743748,-0.89497033743748,0.138283243388038,-0.89497033743748,-0.0740533341645113,-0.0131021392159125,-0.504008123635953,0.594959743779246,-0.212914348887485,6
