"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.103327",-0.482547071855818,0.158809705857416,1.02467575243231,-0.31408389022624,-0.900260308964704,0.0442357429033855,0.531908600290754,0.030777389047409,-0.377853481216231,-0.324155634448757,0.490130729661471,0.118362466518999,4
"dv.149503",1.66582792865325,1.16396697592823,0.436982389140152,-0.255785245921767,-1.28270446939935,0.0183826723920033,-0.116576871738296,0.288996636217634,-0.603354776023176,-0.619169437108902,-0.297933376985021,-0.398632425154754,4
"dv.151977",1.24485099148336,0.367314236499788,1.77705532891722,0.0597201859157828,-0.421968292335689,0.603004462629323,-0.358846697985951,-0.203515296465875,-0.118264727373934,-0.969718556588615,-1.08131597591508,-0.898315658780334,4
"dv.157996",0.890034449507481,1.77679021384547,0.659770296852557,-0.579055070962841,-2.45205783644831,-1.28168336164069,1.55700292095579,-0.62309954017476,-0.604389031033662,-0.548433220789952,1.88210484176995,-0.676984661881026,4
"dv.160300",-0.695770291743688,1.30389286548233,1.52982009327908,0.0879347651461897,-0.449014150989743,-0.742542391557022,0.610102245918468,0.0550745324662154,-0.387490112622118,-1.34239856125034,-0.764462703102441,0.794853708973076,4
"dv.162614",-0.461276670162317,3.27654313918101,1.33622356244216,-0.461276670162317,-0.461276670162317,-0.461276670162317,-0.461276670162317,-0.461276670162317,-0.461276670162317,-0.461276670162317,-0.461276670162317,-0.461276670162317,4
"dv.25024",-0.499192312410105,1.5189891955659,1.07191717510547,-0.499192312410105,-0.499192312410105,-0.499192312410105,0.25195820162025,0.0840798821434041,-0.499192312410105,-0.499192312410105,0.083947796373204,-0.0157383763475964,4
"dv.2739",1.12927128837325,0.460237926203732,0.874758203324533,0.260259985772234,-0.621771076960727,-0.256610267677563,-0.583376262256385,-0.780620214116043,-0.807793024157852,0.0608663039150317,0.159372626814147,0.105404510765641,4
"dv.35951",0.257263008194483,-0.774674714804362,0.745783611452985,0.312674623003344,-0.561880299525554,0.270533799934747,1.76790308872983,0.106373516267286,-2.85613850320276,-0.65132973089483,0.692100546744403,0.691391054100429,4
"dv.5765",1.1375308919374,1.8575310993991,1.03460043392391,-2.90476619968896,-0.661481810964408,-0.691705438356399,0.628063645570072,0.666509386840275,-0.000885296598684526,0.364251636456279,-0.866025907598295,-0.563622440920292,4
"dv.94",-0.283933519893274,1.13059238795446,0.131751086495049,-0.17113234905969,-0.41201812993428,0.0951147438523297,-0.0190176973463192,0.0790137747453059,-0.602223978257811,-0.230330889793001,0.0794419849133288,0.202742586323895,4
"dv.98749",0.399502503162968,0.830434410264212,1.24514548332404,-0.775338682160614,-0.161184011115573,-0.91820207696978,0.240475730316466,-0.213543520903795,-0.292276505194185,-0.312657542473532,-0.131859673653056,0.089503885402844,4
