"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.134479",3.95715079107024,1.44315075478847,-1.2319869542912,-1.2319869542912,0.374559722067727,-1.2319869542912,0.75164030254372,-1.2319869542912,0.0521213398811238,-0.556948366548814,-1.2319869542912,0.138260227653531,5
"dv.140342",2.03021774021551,3.14606667781051,0.852695016608576,-0.00354008893326441,-0.40642828139783,-1.03986306024974,-1.03986306024974,-0.456591975761343,-0.35379683587488,-0.649170011668335,-1.03986306024974,-1.03986306024974,5
"dv.144764",0.791014204294455,1.81002889339081,-1.11026787626785,-0.259291219200707,0.263852990240398,0.691063718123919,0.3471664448105,-1.11026787626785,0.225017740404952,0.0896822723683108,-1.11026787626785,-0.627731415629089,5
"dv.20535",3.70257147777732,5.01268179951758,-0.87152532772949,-0.87152532772949,-0.87152532772949,-0.87152532772949,-0.87152532772949,-0.87152532772949,-0.87152532772949,-0.87152532772949,-0.87152532772949,-0.87152532772949,5
"dv.22064",2.23365866094123,2.40793976649527,-1.20534959343139,-1.20534959343139,-1.20534959343139,-1.20534959343139,0.164658739556431,-0.0594992230330327,0.0797291087971983,0.157509063044914,-0.205889625385492,0.0432918833090321,5
"dv.23625",0.927103917048824,1.51531960846497,-1.48519630361802,-0.632196979172623,-0.245072645509012,-0.300637794768395,-0.0273039940686175,0.00362545640128165,0.244005624622137,-0.469309384766027,0.265425222015898,0.204237273349586,5
"dv.38493",1.33820968877921,2.27157077285959,-0.882192265980118,-0.882192265980118,0.00368530282607527,-0.281952258870642,0.0332349102694591,-0.0649482379453268,-0.882192265980118,0.0526087940600357,-0.303640007791565,-0.402192166246483,5
"dv.65396",1.20301329635996,1.63811126978328,-0.677040919845383,0.83107767475053,-0.0541166570276195,-0.677040919845383,1.12120085505154,-0.677040919845383,-0.677040919845383,-0.677040919845383,-0.677040919845383,-0.677040919845383,5
