"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.11497",3.31184194636723,4.03701506773841,2.95427127106435,-3.23610300486896,1.09305733233832,1.14590259094602,2.38158813682214,-2.32100001554144,-2.52018495441171,-2.13114272300272,-3.30630686748686,-1.40893877996477,8
"dv.139277",5.01489351300272,4.12553332877832,4.91240666801905,-2.31115534006682,-2.31115534006682,-2.31115534006682,-0.498576692569602,-2.31115534006682,-1.14328765847847,-0.443928689804508,-0.411263768613422,-2.31115534006682,8
"dv.608",5.00280241699738,7.52733144561838,7.3712350612041,-2.46813251560834,-2.46813251560834,-2.46813251560834,-0.156308798953154,-2.46813251560834,-2.46813251560834,-2.46813251560834,-2.46813251560834,-2.46813251560834,8
