"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.110334",0.745043839066772,0.476334967116681,-1.32252874224898,0.393172810825421,-0.437698198520103,-0.0205916573782448,-0.787867559349002,-0.18181024905445,0.10152702546964,0.389043319358869,0.326328251355426,0.319046193357977,7
"dv.131230",-0.633965986669001,-0.366682499962524,-0.791410101088843,0.197363038945918,0.258459606172448,0.27438025029152,0.226007189673766,0.0369580050432994,0.0873651312098733,0.0686298120510802,0.320771311105867,0.322124243226598,7
"dv.132672",1.39174101065206,-1.39936009617076,-0.604393136010285,0.522668275567901,-2.37312552866391,0.00384410185942219,1.03271250899928,-0.115469111655297,0.37080367094298,0.0361072985375994,1.14945349837201,-0.0149824924309998,7
"dv.132850",-0.0851657059187358,-0.0851657059187358,-0.0851657059187358,-0.0851657059187358,-0.0851657059187358,-0.0851657059187358,-0.0851657059187358,-0.0851657059187358,-0.0851657059187358,0.936822765106092,-0.0851657059187358,-0.0851657059187358,7
"dv.134438",0.747075626013372,0.413828799662328,-0.85517373462052,0.207038734283676,-0.170127898899187,-0.437373720525805,-0.0973127234671498,-0.487007196002475,0.504110916915314,0.315227634215146,0.444333383054438,-0.584619820629136,7
"dv.136554",1.61464984069567,-0.735973203974892,-0.587035669990246,-0.0641104708916922,-0.672694489553225,0.434368951869713,-0.0479004625590811,-0.879375771455233,0.103645767103859,0.748415857282913,0.433096113019097,-0.34708646154689,7
"dv.137764",-0.158080035600805,-0.158080035600805,-0.158080035600805,-0.158080035600805,-0.158080035600805,-0.158080035600805,-0.158080035600805,-0.158080035600805,0.529927942194897,1.05087241381316,-0.158080035600805,-0.158080035600805,7
"dv.138128",-0.574338735237365,-0.574338735237365,-0.574338735237365,0.0335248649639803,0.0602466303297295,1.14986781398917,-0.040405230905959,-0.574338735237365,0.654812508328783,0.574310846477029,-0.574338735237365,0.439336243004093,7
"dv.149616",-1.87789083535595,1.16525469283086,-1.87789083535595,0.150489472386546,0.960766657850298,0.267265436365636,0.17161896728799,-0.29518492073984,0.138584151395256,0.0681841006258121,0.807725366079938,0.321077746629403,7
"dv.153052",-0.279391053991259,-0.279391053991259,-0.279391053991259,0.574829835002143,-0.279391053991259,0.752861160459714,0.261931594021046,-0.279391053991259,-0.279391053991259,-0.279391053991259,0.30303869326463,0.0630760951912848,7
