"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.100319",-0.186719927019686,-0.186719927019686,1.45101019620208,-0.186719927019686,-0.186719927019686,0.416189073994779,-0.186719927019686,-0.186719927019686,-0.186719927019686,-0.186719927019686,-0.186719927019686,-0.186719927019686,1
"dv.101411",-0.380544322708265,-0.380544322708265,1.19199170538531,0.472302077901351,0.253573817223955,-0.380544322708265,-0.380544322708265,-0.380544322708265,0.30623234594459,-0.380544322708265,0.439710312502649,-0.380544322708265,1
"dv.112208",-0.126882510811743,-0.126882510811743,1.39570761892917,-0.126882510811743,-0.126882510811743,-0.126882510811743,-0.126882510811743,-0.126882510811743,-0.126882510811743,-0.126882510811743,-0.126882510811743,-0.126882510811743,1
"dv.121605",1.55864018566165,0.205325451298764,2.41418872551965,-0.271994718264143,0.0164956094466104,-0.874222265014389,-0.874222265014389,-0.874222265014389,-0.194684398185814,0.058063592735615,-0.874222265014389,-0.289145388154776,1
"dv.12302",-0.467014354013347,-0.467014354013347,1.45188177229111,0.570237889311937,-0.467014354013347,0.137588137591051,0.0662320269607206,-0.467014354013347,0.219646558391617,-0.467014354013347,0.356499739533645,-0.467014354013347,1
"dv.127331",0.199099294473146,-0.123283665512457,1.03373736065142,-0.123283665512457,-0.123283665512457,-0.123283665512457,-0.123283665512457,-0.123283665512457,-0.123283665512457,-0.123283665512457,-0.123283665512457,-0.123283665512457,1
"dv.131686",0.586152259414063,-0.86864235694468,1.74527989140676,-0.0156516014420882,-0.234328713023148,0.164296795667871,-0.119261186483963,-0.284429078363256,-0.0780660283067531,-0.0903377875160731,-0.280966071573032,-0.524046122835706,1
"dv.134962",0.671345957629212,-0.422660354729963,2.12349985158254,-0.422660354729963,-0.422660354729963,0.425625944367896,-0.422660354729963,0.160811084260053,-0.422660354729963,-0.422660354729963,-0.422660354729963,-0.422660354729963,1
"dv.135578",-0.35593187629287,-0.35593187629287,3.081910039412,-0.35593187629287,-0.35593187629287,-0.35593187629287,-0.35593187629287,-0.35593187629287,-0.35593187629287,-0.35593187629287,-0.35593187629287,0.4774087235167,1
"dv.136143",0.352563727240559,-0.203533385332891,1.68277012608835,-0.203533385332891,-0.203533385332891,-0.203533385332891,-0.203533385332891,-0.203533385332891,-0.203533385332891,-0.203533385332891,-0.203533385332891,-0.203533385332891,1
"dv.136399",0.750786449801247,0.189873692667706,2.05357921606734,-0.476664888903198,-0.584746391352795,-0.0324036422593439,-0.211893708115,-0.280161389349046,-0.629981893577686,-0.00220941547170739,-0.516442828154901,-0.259735201352621,1
"dv.137656",0.180584361831755,0.751939047514211,3.87748850317559,-0.53444576805795,-0.53444576805795,-0.53444576805795,-0.53444576805795,-0.53444576805795,-0.53444576805795,-0.53444576805795,-0.53444576805795,-0.53444576805795,1
"dv.137865",-0.509997258179141,-0.509997258179141,2.56598497406439,-0.509997258179141,-0.509997258179141,0.674296892448435,0.0233371684108072,0.0737551812833073,-0.111138680442464,-0.509997258179141,-0.509997258179141,-0.166251986689627,1
"dv.138969",0.3180295216171,-0.779232947748397,1.17020607419407,-0.171547908588086,-0.779232947748397,-0.779232947748397,0.494304678693209,-0.195085308662836,0.449567597877488,-0.00308375376560521,0.221929920910994,0.053378020968855,1
"dv.149907",0.540208016054853,0.0563437096351702,2.65690687251487,0.0128552543354452,-0.583995752532171,-0.583995752532171,-0.583995752532171,-0.583995752532171,-0.192174152189775,-0.0445306222846296,-0.583995752532171,-0.109630315405078,1
"dv.153876",-0.154783811389528,-0.154783811389528,1.70262192528481,-0.154783811389528,-0.154783811389528,-0.154783811389528,-0.154783811389528,-0.154783811389528,-0.154783811389528,-0.154783811389528,-0.154783811389528,-0.154783811389528,1
"dv.162295",-0.213404305236967,-0.213404305236967,1.80706245779431,-0.213404305236967,-0.213404305236967,-0.213404305236967,0.32698059457536,-0.213404305236967,-0.213404305236967,-0.213404305236967,-0.213404305236967,-0.213404305236967,1
"dv.17981",-0.168464935122946,-0.168464935122946,1.85311428635241,-0.168464935122946,-0.168464935122946,-0.168464935122946,-0.168464935122946,-0.168464935122946,-0.168464935122946,-0.168464935122946,-0.168464935122946,-0.168464935122946,1
"dv.18543",1.40235730877436,-0.608192121254109,1.77936195780754,-0.000563455846694705,0.0261218645231853,-0.608192121254109,-0.608192121254109,-0.608192121254109,-0.209064481612506,0.0656217611905952,-0.0228743485659386,-0.608192121254109,1
"dv.26336",-1.16516274109794,-0.926518926682188,2.03825267929241,0.317918303642486,-0.223502429948676,0.187087092143392,0.506221728407029,0.306545504683962,-0.0676941695242954,-0.807665666500124,-0.264125674525227,0.098644300109175,1
"dv.5212",1.83747935024881,-0.737161726490894,1.9728927291015,-0.737161726490894,-0.737161726490894,-0.132382776448237,-0.204198763915423,-0.737161726490894,-0.33815467362626,-0.0613331037584897,0.266991369133493,-0.392647224771817,1
"dv.82638",-0.556051119246662,-0.556051119246662,2.23253412925299,-0.556051119246662,-0.556051119246662,0.046150142273448,0.206750414856997,0.275191905234827,0.00390876266904128,-0.00834040963361637,0.0240606515796298,-0.556051119246662,1
"dv.9782",0.732035309706391,-0.317009700743599,1.804770538445,-0.317009700743599,0.316281458541001,-0.317009700743599,-0.317009700743599,-0.317009700743599,-0.317009700743599,-0.317009700743599,-0.317009700743599,-0.317009700743599,1
