"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.100019",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100051",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100137",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100245",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100273",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100278",-0.031226043480348,-0.031226043480348,0.34348647828383,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,2
"dv.100360",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100420",0.191197308177266,0.630866722131195,0.725183025870789,0.471106223662076,-0.0302324006221948,-0.598926218438811,-0.230031902950421,-0.426123364278959,-0.576552442675715,0.128161306404214,-0.0875801218123522,-0.197068135467084,2
"dv.100565",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100602",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100644",0.295517713320135,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,-0.0268652466654666,2
"dv.100929",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.100953",-0.111700592415401,-0.672264409414371,-0.672264409414371,0.366033447599306,0.218397663897421,-0.672264409414371,0.380389528875904,0.148877216876343,0.365281279896911,0.411596942144778,0.149125013198892,0.0887927281689573,2
"dv.101218",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.101440",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.101598",-0.0866794437329084,-0.0866794437329084,0.953473881061992,-0.0866794437329084,-0.0866794437329084,-0.0866794437329084,-0.0866794437329084,-0.0866794437329084,-0.0866794437329084,-0.0866794437329084,-0.0866794437329084,-0.0866794437329084,2
"dv.101616",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.10169",-0.0486878670827067,-0.0486878670827067,-0.0486878670827067,-0.0486878670827067,-0.0486878670827067,-0.0486878670827067,-0.0486878670827067,0.535566537909775,-0.0486878670827067,-0.0486878670827067,-0.0486878670827067,-0.0486878670827067,2
"dv.101996",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.102229",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.102274",0.30032044703316,0.418997077996448,0.0325004639292139,-0.344677026284755,0.286656607369986,0.500226296164562,0.188029586476951,-0.344677026284755,-0.344677026284755,-0.344677026284755,-0.344677026284755,-0.00334534754654525,2
"dv.102373",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.102374",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.102631",-0.031226043480348,-0.031226043480348,0.34348647828383,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,2
"dv.102680",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.102882",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.103021",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.103173",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.103516",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.10368",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.104000",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.104214",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.104568",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.104784",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.104791",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.104811",-0.031226043480348,-0.031226043480348,0.34348647828383,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,-0.031226043480348,2
"dv.105076",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.105246",-0.0827390293671058,-0.0827390293671058,-0.0827390293671058,-0.0827390293671058,-0.0827390293671058,-0.0827390293671058,-0.0827390293671058,-0.0827390293671058,0.317636423426528,-0.0827390293671058,-0.0827390293671058,0.509753870244531,2
"dv.105380",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.105704",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.105940",-0.141609188159496,-0.141609188159496,-0.141609188159496,0.467576304066309,-0.141609188159496,0.464124895337461,-0.141609188159496,-0.141609188159496,-0.141609188159496,-0.141609188159496,-0.141609188159496,0.342781494031692,2
"dv.105995",-0.0658678953187755,-0.0658678953187755,-0.0658678953187755,-0.0658678953187755,-0.0658678953187755,-0.0658678953187755,-0.0658678953187755,-0.0658678953187755,0.724546848506532,-0.0658678953187755,-0.0658678953187755,-0.0658678953187755,2
"dv.106275",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.106570",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.108556",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.108674",-1.01674110875227,-1.01674110875227,0.687755883242676,0.790535992207579,0.479747491973114,-0.172142415684477,-0.0969740132481203,-0.196237185343818,-0.139100850203714,-0.0802659123867349,0.247209028545992,0.512954198402046,2
"dv.109168",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.10958",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.111010",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.111320",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.111961",-0.0468630932942258,-0.0468630932942258,-0.0468630932942258,-0.0468630932942258,-0.0468630932942258,-0.0468630932942258,-0.0468630932942258,-0.0468630932942258,0.515494026236482,-0.0468630932942258,-0.0468630932942258,-0.0468630932942258,2
"dv.11197",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.113834",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.11415",0,0,0,0,0,0,0,0,0,0,0,0,2
"dv.116538",0,0,0,0,0,0,0,0,0,0,0,0,2
