"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.107163",3.41413306337806,-0.0268189633465843,1.83258365686498,-1.27623971924934,-0.0501761176480553,-1.27623971924934,-1.27623971924934,0.531463779515888,-0.496708206309441,-0.514691774437821,-1.27623971924934,0.415173438980331,4
"dv.138049",2.92286211745666,3.67473042505304,-1.18135093138802,-1.18135093138802,-1.18135093138802,-0.148158242123135,-0.430717918195241,-1.18135093138802,-0.299781225572064,-0.506892681092125,0.209417406607697,-0.696056156582738,4
"dv.138159",1.71528535015227,1.6424604574219,1.71346782499559,-0.56346818139664,-0.56346818139664,-0.56346818139664,-0.56346818139664,-0.56346818139664,-0.56346818139664,-0.56346818139664,-0.56346818139664,-0.56346818139664,4
"dv.142216",1.50416909717339,2.60650260008725,1.69938294206178,-0.150813258151996,-1.24639581818324,-0.565167071575776,-1.34595472837768,-0.494614166062312,-0.491860599096572,-1.20786101998619,-0.298075016167369,-0.0093129617212897,4
"dv.152944",0.781322570523438,5.54410711318941,2.00302326382484,-0.409472272962061,-0.989872584321954,-0.989872584321954,-0.989872584321954,-0.989872584321954,-0.989872584321954,-0.989872584321954,-0.989872584321954,-0.989872584321954,4
"dv.159779",1.18439658485611,2.13113933745376,1.03518325185784,-0.650295193594113,-0.650295193594113,-0.650295193594113,-0.650295193594113,-0.0634868004586475,-0.650295193594113,-0.650295193594113,-0.0742599005051501,-0.311201311639235,4
"dv.1781",2.3200523388601,1.83019291914846,1.94321686148754,-1.45419289060007,-1.45419289060007,-0.849472541918283,-1.45419289060007,-0.308138387301915,-0.417732800460223,0.482091107082307,-0.301167286294544,-0.336463538803232,4
"dv.20941",1.15952679032014,2.59162664383695,1.44824236201795,-0.361381300891595,-0.0744034342335818,0.391943813762688,-0.667644954918935,-0.125772686899787,-0.690201623683301,-0.797388875687254,-1.31522389155465,-1.55932284206862,4
"dv.2112",1.77978331020559,2.09611523294047,1.69962106233349,-1.16630083216265,-0.848915019207229,-0.348204876260137,-0.089855310798189,-0.692642669302421,-0.752430181033695,0.386674773651963,-1.19561768962246,-0.868227800744734,4
"dv.22369",2.87363008831888,3.82614378357879,3.65354923002434,-1.0693514758165,-0.786965394807545,-1.67673694513217,-1.67673694513217,-1.67673694513217,-0.795510745781343,-0.733402079370389,-1.09239240831148,-0.845490162438249,4
"dv.28607",2.58308928758392,1.74543919533084,1.80062268219179,-1.07171670133946,-1.07171670133946,0.107791004509993,-0.321649715011445,-1.07171670133946,-1.07171670133946,-0.301195027711365,-0.255513920196454,-1.07171670133946,4
"dv.33485",1.15532344973933,2.59332107741647,1.98679997714253,-0.530957660743708,-0.258588634255218,-0.485977873328635,-0.67931465810683,-1.10042802986861,-0.520439525581406,-0.52476438212959,-1.06750131103545,-0.567472429248883,4
"dv.34791",1.5868673086156,2.16034763468534,1.21729270249785,-0.594177089315431,-0.594177089315431,-0.594177089315431,-0.594177089315431,-0.594177089315431,-0.594177089315431,-0.21109093127534,-0.594177089315431,-0.594177089315431,4
"dv.40938",2.22337646090162,1.78613283837547,1.59342848679337,-0.764707993347361,-0.764707993347361,-0.764707993347361,-0.764707993347361,-0.764707993347361,-0.764707993347361,-0.227416503666472,-0.764707993347361,-0.0225653289724663,4
"dv.43897",1.40819539368935,2.31696823365151,1.73231345211253,-0.84921290492923,-0.433971470286055,-0.546105566776333,-0.297805888489144,-0.357928515937857,-0.376503400546474,-0.43779982337492,-0.999647415976732,-1.15850209313666,4
"dv.5234",1.35036116910394,0.976313007143648,2.32752721830129,-0.00397825817042108,-0.730185194364845,0.0900868325824353,-0.656590327563659,-1.19146729149997,-0.724653378817503,-0.402383247113054,-0.0690836708265463,-0.96594685877531,4
"dv.64431",2.69045931878318,1.50114965220073,1.9039063348072,0.718923767266802,-1.49174639029438,-1.50206573052169,-2.35839415115508,-1.2826655967205,0.152600022568572,-0.241296423923565,-0.0629179188678703,-0.027952884143402,4
"dv.97842",2.00214403731627,1.31687897871191,2.19052150926371,-1.12401753205074,-0.631627830539561,-0.380793499940506,-0.507519280196419,-0.596694573025529,-0.522669880046793,-0.406479174971015,-0.572660525025855,-0.76708222949547,4
