"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.129980",-1.73330110820246,-5.01591464492689,-5.01591464492689,1.75774537168429,1.24788807037215,0.939961324677625,1.11809776405464,1.2597042903523,1.67874445239988,1.16892257520474,1.40599092015906,1.18807562915157,3
"dv.131007",-3.13870881220482,-3.13870881220482,-3.13870881220482,1.042904276629,0.72022363539151,0.477702674824573,1.55247648186662,0.493254775896565,1.19203942501835,1.42621553581985,1.52629381479149,0.985015816376499,3
"dv.134810",-1.77170359713362,-3.77757867712693,-1.9386246034898,1.34473271811002,1.29786088624185,1.15331378049578,1.33369054896882,1.05729666355521,0.544230185677566,-0.853943971392129,0.999836164314289,0.610889901778933,3
"dv.140157",-2.93963026180393,-2.93963026180393,-2.93963026180393,1.17141178278157,0.979374594774179,1.23293513874059,1.11948857239676,1.38973847370143,0.552635439360683,-0.0174203795621208,1.32079596671801,1.0699311965007,3
"dv.24991",-2.87964943740876,-4.22464802269958,-3.25648834165934,1.35949218383714,1.32630901052727,1.17489209017577,1.88549064030168,1.24516515401067,0.80484826942387,-0.388882462291459,1.54882219680301,1.40464871897971,3
"dv.30569",-3.44500616083219,-3.87783470842187,-6.20311666391175,2.02785270150501,0.949670594837995,1.86706412486189,1.26982505717762,1.28294785815214,1.78829429769727,1.23455355894979,1.65087487192805,1.45487446805608,3
