"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.100822",0.613128746739664,-0.17211814745386,0.204316853869308,-0.17211814745386,-0.17211814745386,-0.17211814745386,-0.17211814745386,-0.17211814745386,0.38916056985549,-0.17211814745386,-0.17211814745386,0.170339009166422,8
"dv.101971",1.26247399333878,-0.163044281212223,-0.163044281212223,-0.163044281212223,-0.163044281212223,-0.163044281212223,0.367968818783452,-0.163044281212223,-0.163044281212223,-0.163044281212223,-0.163044281212223,-0.163044281212223,8
"dv.102949",0.806357215221407,-0.252625565856712,-0.252625565856712,-0.252625565856712,-0.252625565856712,0.349653882015165,-0.252625565856712,0.32963534989197,0.535358079725154,-0.252625565856712,-0.252625565856712,-0.252625565856712,8
"dv.10572",0.740939498842484,-1.28520799864441,0.386771817331554,0.0366889584103482,0.0917931386125828,0.349237512212026,0.250370356236344,0.203946254912947,-0.722615952283437,0.0312839407197707,-0.00646505397983876,-0.0767424723703662,8
"dv.108900",1.40118403931706,-0.431002166218537,0.239400919504599,-0.431002166218537,-0.431002166218537,0.405406250525586,-0.431002166218537,-0.431002166218537,0.246250400646379,-0.431002166218537,0.142897062101936,0.150874325215665,8
"dv.11269",1.14813319900343,-0.104375745363948,-0.104375745363948,-0.104375745363948,-0.104375745363948,-0.104375745363948,-0.104375745363948,-0.104375745363948,-0.104375745363948,-0.104375745363948,-0.104375745363948,-0.104375745363948,8
"dv.120498",1.85158949459835,-0.355283087740276,1.17359738626218,-0.355283087740276,-0.355283087740276,-0.355283087740276,0.172360908801953,-0.355283087740276,-0.355283087740276,-0.355283087740276,-0.355283087740276,-0.355283087740276,8
"dv.124683",0.628985175136013,-0.323905106414274,-0.323905106414274,-0.323905106414274,-0.323905106414274,0.521370838789369,0.21834080441598,-0.323905106414274,0.633880800878997,-0.323905106414274,-0.323905106414274,0.264758125679557,8
"dv.133383",0.464475208350446,-0.196508341766448,0.274308394694225,0.0408271997648928,-0.291742831583869,-0.303846218410214,-0.386141237911668,0.418776289945397,0.0657180449093726,-0.352730391474532,0.0816987700841825,0.185165113398211,8
"dv.139613",1.00248081598865,-0.173452826185291,0.732047445864259,-0.173452826185291,-0.173452826185291,-0.173452826185291,-0.173452826185291,-0.173452826185291,-0.173452826185291,-0.173452826185291,-0.173452826185291,-0.173452826185291,8
"dv.141103",0.647510001957563,-0.134209628840117,0.694586286443605,-0.134209628840117,-0.134209628840117,-0.134209628840117,-0.134209628840117,-0.134209628840117,-0.134209628840117,-0.134209628840117,-0.134209628840117,-0.134209628840117,8
"dv.142248",0.824187422497049,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,8
"dv.143514",1.26980661048377,0.824878630156356,-0.913099120969399,-0.913099120969399,-0.0234024449851233,0.11903610400254,0.00307148228941667,-0.0928311318118276,0.191570094995241,-0.0505372963158459,-0.0934290492602434,-0.321964757615492,8
"dv.1448",0.486533812149437,-0.465814589234618,-0.465814589234618,-0.465814589234618,-0.465814589234618,-0.465814589234618,-0.465814589234618,2.41124392428625,-0.465814589234618,-0.465814589234618,1.29455356667587,-0.465814589234618,8
"dv.147979",0.872489221747872,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,-0.0793172019770791,8
"dv.15957",1.61806471970559,-1.33295056753421,1.01338683319887,-0.142703563505984,0.27449245652592,-0.299791877551052,0.0355078079772522,-0.18705981116301,0.239043375603138,0.032057128576664,-0.509967647369407,-0.740078854463769,8
"dv.163167",0.824187422497049,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,8
"dv.21878",0.824187422497049,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,8
"dv.24675",0.774902369285672,-0.12787109025196,-0.12787109025196,-0.12787109025196,0.503808533233928,-0.12787109025196,-0.12787109025196,-0.12787109025196,-0.12787109025196,-0.12787109025196,-0.12787109025196,-0.12787109025196,8
"dv.29297",1.15009260592234,-0.138618647971501,0.236093873792676,-0.138618647971501,-0.138618647971501,-0.138618647971501,-0.138618647971501,-0.138618647971501,-0.138618647971501,-0.138618647971501,-0.138618647971501,-0.138618647971501,8
"dv.31682",0.863351970593208,0.994483384081367,0.253435516830421,-0.180966789072867,-0.194206510130676,-0.221278593326607,-0.000641079948679568,-0.0678742654768083,-0.136147070277192,-0.425147496437634,-0.48367917919446,-0.401329887640072,8
"dv.34835",1.24844306860702,-0.166033381847245,-0.166033381847245,-0.166033381847245,-0.166033381847245,-0.166033381847245,-0.166033381847245,-0.166033381847245,-0.166033381847245,-0.166033381847245,0.411890749865426,-0.166033381847245,8
"dv.3978",0.937310445313201,-1.19377976353273,1.15027337223794,-0.199747151837954,0.260771827493604,0.552665688421223,-0.487631306854785,0.089179053784501,-0.56367899436964,-0.113960246435116,-0.00280097066181373,-0.428601953558426,8
"dv.46346",0.432503082244919,0.0201735072818412,0.900644272031007,-0.56884338881242,0.523761250024569,-0.572664726140441,-0.419619015215146,-0.178262610767254,0.152932459026014,0.0168345061427138,-0.186213318371586,-0.121246017444216,8
"dv.51057",0.593650524779202,-0.221301755010118,0.329930776789516,-0.221301755010118,-0.221301755010118,-0.221301755010118,-0.221301755010118,-0.221301755010118,-0.221301755010118,0.160926950277857,0.350018412222904,0.114585621001345,8
"dv.77677",0.680204274238982,-0.383928696979511,0.606442640748867,-0.383928696979511,-0.383928696979511,0.216433586307911,-0.383928696979511,0.443763793108082,-0.383928696979511,0.162249953566958,0.194477933906264,-0.383928696979511,8
"dv.8604",1.79277611411972,-0.423963873782881,-0.423963873782881,-0.423963873782881,1.28133001296102,-0.423963873782881,0.741568736965185,-0.423963873782881,-0.423963873782881,-0.423963873782881,-0.423963873782881,-0.423963873782881,8
"dv.86130",1.00171535482651,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,-0.0910650322569553,8
"dv.93060",0.593805410081317,-0.287347542330849,0.668764893913145,-0.287347542330849,-0.287347542330849,0.322047975080579,-0.287347542330849,0.312406813016103,0.114407704224797,-0.287347542330849,-0.287347542330849,-0.287347542330849,8
"dv.95621",0.917917458017492,-0.083447041637954,-0.083447041637954,-0.083447041637954,-0.083447041637954,-0.083447041637954,-0.083447041637954,-0.083447041637954,-0.083447041637954,-0.083447041637954,-0.083447041637954,-0.083447041637954,8
"dv.96759",0.824187422497049,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,-0.0749261293179133,8
"dv.97707",0.754373714920938,0.923123263267146,0.967288240979357,-0.293865024351938,-0.293865024351938,-0.293865024351938,-0.293865024351938,-0.293865024351938,-0.293865024351938,-0.293865024351938,-0.293865024351938,-0.293865024351938,8
"dv.98018",0.92380571839734,0.100641593265586,0.486148616665901,-0.3580702749612,0.314755950775069,-0.162543818800546,-0.260754362673461,-0.0466176329710573,0.0714138606534673,-0.481459246107246,-0.0410816608777393,-0.546238743366117,8
