"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.100822",1.1756606536482,-0.164433029884664,0.468669645198443,-0.164433029884664,-0.164433029884664,-0.164433029884664,-0.164433029884664,-0.164433029884664,-0.164433029884664,-0.164433029884664,-0.164433029884664,-0.164433029884664,5
"dv.101971",1.53620810566467,-0.798687239166939,-0.798687239166939,0.42715472133776,-0.147440107707457,-0.33465111149196,0.40489415121846,0.295410562226254,0.202353531293586,-0.798687239166939,0.190768658468337,-0.178636793508828,5
"dv.107163",1.47229417542141,-2.72555258826917,-0.340684424100972,-0.424764937137835,0.421640499720563,0.409259424947165,-0.0327915931546636,1.72859094916873,0.556233307055123,-0.938912949409398,0.544594823140006,-0.669906687380972,5
"dv.108900",2.50412391838436,-0.325828660142344,0.754162683039076,-0.325828660142344,-0.325828660142344,-0.325828660142344,-0.325828660142344,-0.325828660142344,-0.325828660142344,-0.325828660142344,-0.325828660142344,-0.325828660142344,5
"dv.120498",1.76086872647096,-1.63887592427803,0.776581214808495,-0.0845540244650778,0.10978322876515,-0.440594997425347,-0.535136361613897,-0.544778122884836,-0.146355065980404,0.467009997376466,0.242807535848216,0.0332437933782961,5
"dv.124683",1.29633011336411,-0.318895463456899,-0.318895463456899,-0.318895463456899,-0.318895463456899,1.02959391324683,0.544135144501157,-0.318895463456899,-0.318895463456899,-0.318895463456899,-0.318895463456899,-0.318895463456899,5
"dv.133047",0.484277062164227,-1.92372371418173,0.938795032271088,0.258930487951493,-0.461110966034705,0.0233562295375442,0.894096858181816,0.522070370894685,0.321938668018976,-0.296498619353085,-0.508110738704892,-0.25402067074542,5
"dv.139613",1.51743573777989,-0.44834302737579,1.04705961654515,-0.44834302737579,-0.44834302737579,0.0156931002991891,-0.44834302737579,-0.44834302737579,0.374308170138647,0.183904566867659,-0.44834302737579,-0.44834302737579,5
"dv.140439",0.864009584325812,-0.476084099207047,-0.476084099207047,-0.476084099207047,0.437420815800829,-0.012047971532068,0.232002749546913,-0.476084099207047,0.109502887824265,0.156163495036401,-0.0266815106250253,0.143966346451064,5
"dv.14050",2.47132179651785,-0.990933308118856,-0.990933308118856,-0.990933308118856,-0.990933308118856,2.8727817736745,-0.990933308118856,-0.990933308118856,-0.990933308118856,-0.990933308118856,3.57429620287735,-0.990933308118856,5
"dv.141103",0.376873096540209,-0.96322058699265,0.411252207210177,0.047274316009482,0.146791495687048,0.235060339860031,0.0285995215913255,0.362024927100373,0.623302952093229,-0.330972992749202,0.0262353106426265,-0.96322058699265,5
"dv.142248",1.40324261017536,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,5
"dv.143514",1.52615243117917,0.851634822255292,-1.83033230247426,0.139164302653215,0.799799028398282,0.438294850990333,-0.62675091208886,-0.406531760155723,-0.156891910803893,1.22619905427871,-0.750455747416113,-1.21028185681615,5
"dv.147979",1.42616694990086,-0.189058626920157,-0.189058626920157,-0.189058626920157,-0.189058626920157,0.464419319300715,-0.189058626920157,-0.189058626920157,-0.189058626920157,-0.189058626920157,-0.189058626920157,-0.189058626920157,5
"dv.14827",1.49308185159107,-0.746536409360417,-0.746536409360417,-0.746536409360417,-0.746536409360417,-0.746536409360417,0.708241295095552,0.929315487921509,1.34813633695822,0.746979893956575,-0.746536409360417,-0.746536409360417,5
"dv.15957",1.62556957105984,-2.68661135939427,0.812203702213769,-0.768487065921201,0.292233269849361,-0.0492304737102787,-0.482038892055609,-0.741132233082999,-0.591938613075635,0.858336490097354,1.15672595611326,0.574369647906408,5
"dv.163167",0.974760875922459,-0.556049244268841,-0.556049244268841,-0.0431162472640851,0.0951978871906416,0.097428701952031,0.306981363689216,0.000741503782871522,0.266601953245597,0.0761983499746082,-0.106646655686819,-0.556049244268841,5
"dv.21878",1.40324261017536,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,5
"dv.29297",1.85728172564302,-0.279633762523404,0.353468912559703,-0.279633762523404,-0.279633762523404,-0.279633762523404,-0.279633762523404,-0.279633762523404,0.305953224507909,-0.279633762523404,-0.279633762523404,-0.279633762523404,5
"dv.34835",1.54619411545198,-0.741917926532414,-0.741917926532414,0.137515447746762,0.368094156147284,0.17466664927167,-0.0338310777784541,0.0407653250114954,0.406731982571197,-0.741917926532414,-0.292515337950392,-0.121867480874303,5
"dv.40938",1.66818390682863,1.05111825526303,0.82942156042875,0.129101727944034,-0.349759259821262,0.0179988663994965,0.0318668923697585,0.0266452793492471,0.0616447683173034,-1.40754903051284,-0.762313563499245,-1.29635940306691,5
"dv.5475",1.41441858882864,-1.00939681316393,-1.00939681316393,1.38537784290148,1.15108187491648,1.00807070283271,-1.00939681316393,0.0847009882292644,0.380483287031538,-0.37714921892048,-1.00939681316393,-1.00939681316393,5
"dv.64431",1.36976298805722,0.0461335731806276,0.475699525649826,0.105170321351407,0.0779196658878387,-0.660583965788357,-0.801966161608641,-0.401053787568674,-1.49712899808279,0.352455117992694,0.788291144244816,0.145300576684029,5
"dv.6548",1.06052064520546,0.745305465667141,-0.118010089894433,0.371130013560883,0.0384512508877837,-0.0835415625369613,0.246262216694001,-0.344148910137328,0.118009113920493,-0.924357089874848,-0.621779135229723,-0.487841918262479,5
"dv.77677",0.720873633733853,-1.04688038399933,0.557641993515901,0.434142496263908,0.364757219654932,0.369315224467094,0.672915578630437,-0.490089635947614,-0.224229186484889,-1.04688038399933,0.115263382506245,-0.426829938341215,5
"dv.8604",2.52881869714292,-0.892070444607722,-0.892070444607722,0.662251455205229,-0.892070444607722,-0.892070444607722,0.402140104014845,0.991329433797752,0.497809655587744,-0.892070444607722,0.270073321897849,-0.892070444607722,5
"dv.86130",0.792488052751401,-1.04485301128035,-1.04485301128035,0.578346551314661,0.366784592373912,0.435076864077291,0.409924693175623,0.171557320640023,0.541670527805533,-1.04485301128035,0.263512997324831,-0.424802565622235,5
"dv.95621",0.79452670684792,-0.899404323683954,-0.899404323683954,0.418539508975982,0.0141005913239214,0.752606588077619,0.304177066701445,-0.116721072140045,0.687119215401925,-0.899404323683954,-0.127119282096946,-0.029016352039958,5
"dv.96759",1.40324261017536,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,-0.127567510015941,5
"dv.97842",1.03625369205862,0.238323514654899,1.13028697340034,0.610772650199173,-0.521264593464061,-0.0808515284015741,0.139772910563526,0.120455555496537,-0.313184282237012,-0.779490018465866,-1.0619984174009,-0.519076456403685,5
