"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.100319",-0.256971222787733,-0.256971222787733,2.3137504536603,0.255961774217022,-0.256971222787733,-0.256971222787733,-0.256971222787733,-0.256971222787733,-0.256971222787733,-0.256971222787733,-0.256971222787733,-0.256971222787733,8
"dv.101411",-0.20576796052553,-0.20576796052553,2.26344756578083,-0.20576796052553,-0.20576796052553,-0.20576796052553,-0.20576796052553,-0.20576796052553,-0.20576796052553,-0.20576796052553,-0.20576796052553,-0.20576796052553,8
"dv.108674",-0.21422680637067,-0.21422680637067,2.35649487007737,-0.21422680637067,-0.21422680637067,-0.21422680637067,-0.21422680637067,-0.21422680637067,-0.21422680637067,-0.21422680637067,-0.21422680637067,-0.21422680637067,8
"dv.112208",-0.238738310639045,-0.238738310639045,2.17671882844748,-0.238738310639045,-0.238738310639045,-0.238738310639045,-0.238738310639045,-0.238738310639045,-0.238738310639045,-0.238738310639045,0.210664277942977,-0.238738310639045,8
"dv.121605",1.70383808389565,-0.221146383971868,2.62851521561394,0.117492141702809,-0.200244612969381,-0.244758719912826,-0.49412606155659,-0.525103223694023,-0.800253856908948,-0.576186437237792,-0.786759999506988,-0.601266145453981,8
"dv.12302",-0.61406701967729,-0.61406701967729,2.33852273308104,-0.61406701967729,-0.61406701967729,-0.150030892002311,-0.110887576207296,0.480030781715902,-0.61406701967729,-0.61406701967729,0.27427583195996,0.852491239516449,8
"dv.127331",0.359614866121335,-0.203771112172993,1.67809625560859,-0.203771112172993,-0.203771112172993,-0.203771112172993,-0.203771112172993,-0.203771112172993,-0.203771112172993,-0.203771112172993,-0.203771112172993,-0.203771112172993,8
"dv.131686",0.281055408372152,-2.09903744329439,1.73466432649676,0.40062136734065,0.579810105688734,0.136531182382361,-0.321367511560526,-0.215637564888919,-0.268743082950788,0.957493913458572,0.0432587706058021,-1.2286494716504,8
"dv.134962",1.31712242070024,-0.520218643331511,3.23158606639401,-0.520218643331511,-0.520218643331511,0.13325930288936,-0.520218643331511,-0.520218643331511,-0.520218643331511,-0.520218643331511,-0.520218643331511,-0.520218643331511,8
"dv.135578",-1.48458748067375,-1.48458748067375,3.30193066376844,1.41983819761645,1.41494928185862,-1.48458748067375,-1.48458748067375,-1.48458748067375,0.724294009163795,2.03585041769894,0.0106623139362254,-1.48458748067375,8
"dv.136143",0.293465075565238,-0.670526649077141,2.24447399407695,0.208906725202035,0.439485433602557,-0.670526649077141,-0.670526649077141,-0.113735901025429,0.330514121383385,-0.670526649077141,-0.670526649077141,-0.0504762034190303,8
"dv.136399",-0.188787209037518,-1.0028443689459,1.23915724295812,0.334259859037207,-0.146044096316306,0.216529544909911,0.101996880127918,0.329170418938937,0.473918628003918,-0.671680678064643,-0.323438886559011,-0.362237335052629,8
"dv.137656",-0.0654787385912243,0.768515692288559,4.55616289195932,-0.0698170174358759,-0.382154062932699,-1.29565897794058,-0.587572129186615,-0.512975726396666,-0.473007780426138,-0.217084167100927,-1.29565897794058,-0.425271006296579,8
"dv.153876",-1.1925778143062,-1.1925778143062,1.68379106862025,0.288445065957031,0.737246454023284,1.10830221391827,0.585092117427664,0.231222728012334,-0.0439279052025916,0.180139514468565,-1.1925778143062,-1.1925778143062,8
"dv.162295",-0.931430200672588,-0.931430200672588,2.19529276837637,0.471127178118596,-0.931430200672588,0.666030047066303,-0.223343351918628,0.0215362766166436,0.217219708431023,0.147144610167061,0.230713565832983,-0.931430200672588,8
"dv.17981",-0.412557232213584,-0.412557232213584,2.68102689441352,0.309118390008878,-0.412557232213584,-0.412557232213584,0.0906222112564099,-0.412557232213584,-0.412557232213584,0.219690362029864,-0.412557232213584,-0.412557232213584,8
"dv.26336",-0.990035450684718,-0.718583658969401,2.79641287842416,-0.627292128216099,0.675148679175042,-0.240328860725353,-1.04945084911034,-0.604153669073929,-0.000369334733378857,0.0915521198418734,0.346199774547722,0.320900499524421,8
"dv.46346",0.835843372468721,0.178907806034319,1.38826560240669,0.347486853518048,0.340036492664663,-0.557680247057457,-0.293873119873409,-1.11458757960716,0.298000867683593,-0.784121737737304,-0.433458242035574,-0.204820068465131,8
"dv.5212",2.31038025390672,-1.55712223028114,2.39124396901018,0.800791179412008,-0.285141634940687,0.244946573056171,-1.55712223028114,-1.55712223028114,0.756824368336717,-0.184404901506374,0.193849113849841,-1.55712223028114,8
"dv.5234",0.624375449297932,0.102651416482725,1.58371643870676,0.783141552672517,0.180990038314999,1.13613166192361,0.0436970951229139,-0.090835420679805,-0.817990723928267,-1.34352592217336,-1.19222437173079,-1.01012721400923,8
"dv.82638",-0.985977579028336,-0.985977579028336,3.05138613060262,0.495045301234897,0.549342107304281,-0.985977579028336,-0.482798135558342,0.108120222364856,0.687462812642031,-0.0987209891067695,-0.985977579028336,-0.365927133370226,8
"dv.9782",0.0407345885305741,-1.7270194292026,1.49467768640301,0.291845751974314,0.284395391120929,0.329447077506573,-0.272241724746635,0.218459697108668,-0.725978658742079,0.152578156021192,-0.122659111948912,0.035760575974968,8
