"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.102513",-3.11644946127039,2.56943465751969,0.0426488869051767,0.870971784708812,-0.82221169746616,0.255923907730889,1.40520435449728,-0.000260001396553022,-0.200656131633074,-0.943205120713654,-0.341880077571284,0.280478898689267,10
"dv.133492",-0.46489657007286,2.72950053169219,-0.46489657007286,0.0480364269318949,-0.46489657007286,-0.46489657007286,-0.46489657007286,-0.46489657007286,0.536144200387665,-0.46489657007286,-0.46489657007286,0.405491401571136,10
"dv.138159",2.56068075994116,2.37581491400654,2.479451567412,-0.941768603653489,-0.941768603653489,-0.941768603653489,-0.438589160183495,-0.384977855601777,-0.941768603653489,-0.941768603653489,-0.941768603653489,-0.941768603653489,10
"dv.143344",0.995405602642129,1.59337163485073,0.533138192285119,0.315809129656652,-0.68206502445738,-0.24443787741617,-0.29409457173852,-0.897096188161097,-0.526066647608111,-0.20206550156334,0.237385180492266,-0.829283928982274,10
"dv.14609",-0.259600744598336,2.22250551549859,0.373501930484771,-0.259600744598336,-0.259600744598336,-0.259600744598336,-0.259600744598336,-0.259600744598336,-0.259600744598336,-0.259600744598336,-0.259600744598336,-0.259600744598336,10
"dv.146496",-0.285907621346437,3.14498383481081,-0.285907621346437,-0.285907621346437,-0.285907621346437,-0.285907621346437,-0.285907621346437,-0.285907621346437,-0.285907621346437,-0.285907621346437,-0.285907621346437,-0.285907621346437,10
"dv.152944",-1.22742584558624,3.95631093520118,0.220756033308747,0.547993669076751,-4.02503525019479,1.84891061295307,-0.312865550517492,1.57721068107033,1.33463001519749,-2.32288328643393,-0.44101689729636,-1.15658511677875,10
"dv.157994",-0.419765620342384,2.97435458372276,-0.419765620342384,-0.419765620342384,0.231481511117098,-0.419765620342384,0.572054488241592,-0.419765620342384,-0.419765620342384,-0.419765620342384,-0.419765620342384,-0.419765620342384,10
"dv.159779",0.349129714405554,1.44994519970085,0.0754388860997821,0.612702739177614,0.135515911774528,-0.839186591108867,-0.017605936971119,0.322959258070914,0.0844921246491213,-1.65607504728703,-1.23496562860342,0.71764937009208,10
"dv.163149",-1.14743395265158,2.01412475176402,-0.472770039022274,0.0390817787092166,0.868797773337909,-0.058809019184336,-0.333314723160447,-0.196646261479873,-0.0373795392755421,0.0832769712066863,-0.106459613692216,-0.652468126551565,10
"dv.20941",-0.336163440478339,1.0512129103268,-0.120430720093992,0.170380389040762,-0.626322142393395,-0.108163969588787,0.765235988105522,0.921928333514449,1.02711811040548,-1.52907373748399,-0.638547787915162,-0.577173933439351,10
"dv.26245",-2.02509088289327,2.63963365193711,-2.02509088289327,0.691777672558796,0.063005947582762,0.0313756238159062,0.622034835151203,0.331762112014835,0.0695818634253644,-0.531574579576279,-0.369814980713029,0.502399619589871,10
"dv.27037",0.68655957595691,2.24790352165706,0.602504259908728,-1.09370243701704,-0.405037699315915,-2.74718552228452,0.992129864547276,-0.153164028954932,-3.57779414371963,1.18055083921333,0.971364326149201,1.29587144385953,10
"dv.33067",-3.083408035569,1.13574412386381,0.668396674156516,1.22648200991969,-0.104563406325371,1.06230723292749,1.54979627185195,0.485712180815782,0.0431735685487586,-0.670661052541674,-0.287923336473292,-2.02505623117466,10
"dv.33485",-0.202378721646259,1.16759391790604,0.565160629709057,0.197690465111014,-0.291546128256321,0.142636187268424,-0.514920981353486,0.37809974382556,-0.0217782762777503,-0.534155731138421,-0.352940162368057,-0.533460942779799,10
"dv.43641",0.368903411752568,2.47423392477654,1.56119983162217,-0.456867540101026,0.0769073905620576,-0.413729192175086,-0.025928831187759,-0.685943925820953,-0.62130933971851,-1.12393284999241,-0.355913537733734,-0.79761934198385,10
"dv.43878",-1.52211285351663,2.31627909763594,1.50274866519078,-0.397778918249416,0.565983976959403,-0.0421829781589942,-0.530292744932655,-0.305702521596262,0.232296378016888,-0.634856263595064,-0.532656955881354,-0.651724881872635,10
"dv.43897",0.862653986219035,1.66901688560128,1.09632791127952,-0.336094005193338,-0.944648920027113,-0.146634438679785,-0.426957771558188,0.107330691708185,-0.282197925665081,-0.91725182956724,-0.27485046214187,-0.406694121975407,10
"dv.5689",-0.766151128319831,1.53081353229422,-0.386998865962936,-0.408765762251854,0.484477589498828,-0.471534332747583,0.860989040747038,-0.109397497254806,-0.796887899433778,0.863729562362301,-0.459949178275946,-0.340325060655652,10
"dv.6514",-0.873902517681378,1.80806460704817,-0.873902517681378,-0.360969520676623,0.0396023973264974,-0.220424571460507,0.229837044982753,-0.873902517681378,0.402480171876118,0.828249446079474,-0.101617476094371,-0.00351454603738199,10
"dv.75662",-0.437789241581709,3.45411686242397,-0.437789241581709,-0.437789241581709,-0.437789241581709,0.215688704639162,0.27029760717225,-0.437789241581709,-0.437789241581709,-0.437789241581709,-0.437789241581709,-0.437789241581709,10
"dv.98160",-0.204610451203368,1.79084754710701,0.735727289276464,0.357846542402943,-0.700417331007426,-0.00189171601266658,-0.0647064332864851,0.154458743948553,-0.50295066149342,-0.474530718109784,-0.638742444686718,-0.451030366935107,10
