"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.10169",-0.63795965334736,-0.63795965334736,-0.63795965334736,0.587882307157339,-0.63795965334736,-0.63795965334736,1.39425150872047,-0.63795965334736,1.39559878928745,0.855556649969631,-0.63795965334736,0.232428318296636,4
"dv.102274",-0.712858223607541,-0.563479054318147,-1.18637172081261,-0.940041021616538,0.341004292184696,-0.7057763152943,0.500943929512036,1.01606980460992,1.38857465192012,0.796444525679634,-0.115392353250495,0.180881484993217,4
"dv.102949",0.439547690498182,-1.328206327235,-1.328206327235,-0.606530705012534,0.318621141747891,0.689261188761645,0.504708196796248,0.09559421508354,0.705352115399812,-0.0917583341223414,0.167043467374974,0.434573677942577,4
"dv.105246",-0.564653662623171,-0.564653662623171,-0.564653662623171,0.314779711656005,1.27791020503602,0.232374971113714,1.09433206790731,1.03317868264915,-0.564653662623171,-0.564653662623171,-0.564653662623171,-0.564653662623171,4
"dv.120872",-1.48097936595948,-1.48097936595948,-1.48097936595948,0.48851723916799,0.448844902370001,0.650110524533551,1.22303383628467,-0.528012888670254,-0.332329456855874,0.692264974597249,1.35541134137154,0.445097625079586,4
"dv.121252",-1.73511471802226,-0.298655383165038,-1.73511471802226,0.952754370295053,0.0135444350209193,0.200578446895338,0.758490833511583,-1.17832396997055,0.166656359504572,1.01551820529589,2.10822259748527,-0.268556458828519,4
"dv.121462",-0.807804498142323,-0.807804498142323,-0.807804498142323,1.6228458949316,1.12201977018716,0.390476428710358,0.295935064521808,-0.251013750090611,-0.807804498142323,0.428643494970331,0.430115587480974,-0.807804498142323,4
"dv.121913",-0.80174759257009,-0.80174759257009,-0.80174759257009,0.0776857817090857,-0.150500461110608,0.21892735790046,-0.298568149100096,-0.0190643410261808,0.0209036049443472,1.4966420478854,0.802612724683603,0.256604211824254,4
"dv.122809",-0.867725067596744,-0.867725067596744,-0.867725067596744,1.19867084011862,0.404255527743711,-0.867725067596744,1.33684739974192,-0.0850418160528346,0.280924841506867,0.210849743242905,0.121730830038533,0.00266290404725256,4
"dv.124439",-0.779464303595085,-0.779464303595085,-0.779464303595085,-0.26653130659033,0.49251629174537,0.334233777006328,0.324275259069046,0.734709365870951,0.496918385962411,-0.147216709351637,0.528901705010091,-0.159413857936975,4
"dv.129321",-1.00560372942269,-1.00560372942269,-1.00560372942269,0.475419150840541,0.8369601382365,0.748494065664207,0.58926474063645,-0.222920477878784,0.580919809663186,-0.118347139501126,0.0742728256354548,0.0527480749716509,4
"dv.130987",-1.38482052425061,-1.44805060521064,-1.02015748193596,0.245493693621116,0.38111218451481,0.181466744768358,1.59426306592961,0.904280999044976,1.19870489980889,0.214044534075551,-0.356235594517317,-0.510101915848773,4
"dv.133115",-1.48947936259731,-0.861087481630216,-1.52371206749073,-0.325794216963242,-0.606819099973155,-0.641188128852599,1.51888785373026,1.29723157183068,0.668584884238985,0.992549189855309,0.244399414308857,0.726427443543166,4
"dv.137002",-1.09555243956613,-1.09555243956613,-1.09555243956613,0.130289520938573,-1.09555243956613,0.960914067143051,1.66308978766371,0.5802994577158,1.16690473123545,-1.09555243956613,0.399697355043844,0.576567278090198,4
"dv.137770",-1.34901369102893,-0.413099809886585,-2.14085719192728,0.812811781752353,-1.03084510924758,1.231516177074,0.884931763092929,1.04962383866233,0.068024297910263,-0.0349712702727825,0.354231538479516,0.567647675391765,4
"dv.139097",-1.47362476735851,1.00848149273841,-1.47362476735851,-0.594191393079332,-1.47362476735851,0.374604570073589,0.462881990898932,-0.0498242250399716,0.356669592985097,0.992841838015858,0.6345303355224,1.23488009996053,4
"dv.140515",-1.27820162027765,-1.37971322368827,-1.34960050141793,0.056143844677969,0.692770253532265,-0.0922532589554006,0.953736650268876,0.465393100426637,-0.130250935484916,1.36125837348164,0.367828558709038,0.33288875872775,4
"dv.143483",-1.07717989467358,-1.07717989467358,-1.07717989467358,-1.07717989467358,0.671479258369603,0.0365181859278381,1.00032019506723,0.740881762023103,0.0714700144300351,0.882416518342374,-0.087723997038299,0.993357641572421,4
"dv.145859",-1.05531773143912,-1.05531773143912,-0.166879090425269,0.170524229065582,0.4800019548935,0.484895059462692,0.23889281718345,0.368482810879419,0.774976628904487,-0.423070137195669,0.0245588236190306,0.158252366491009,4
